Model,Accuracy,Precision,Recall,F1,AUC
逻辑回归 (LR),0.534,0.3918269230769231,0.4010508617065994,0.3624772599663111,0.7123577699258885
随机森林 (RF),0.5800000000000001,0.7830479867622724,0.5215782032175474,0.46894038079448414,0.5678436491864476
XGBoost,0.558,0.5896470588235294,0.4619119678136071,0.40557666272493365,0.5731918999638556
支持向量机 (SVC),0.5519999999999999,0.39715260017050297,0.4075641538256492,0.37104064509098833,0.6939050418765312
