Model,Annualized_Return,Sharpe_Ratio,Max_Drawdown,Win_Rate
逻辑回归 (LR),5.720021664964522,4.0199900786062575,-0.11251947854509525,0.8181818181818182
随机森林 (RF),8.572138347192352,3.3874018581244076,-0.26439693524468644,0.5959595959595959
XGBoost,7.876330305341536,3.399474826105715,-0.24282412075732898,0.6666666666666666
支持向量机 (SVC),10.477086490945018,4.733588299139998,-0.11251947854509528,0.797979797979798
